,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
سلام,1,0,6,133,0,17,1,30,11,77.78,"{'minlat': 36.2736422, 'minlon': 59.5973553, 'maxlat': 36.2818175, 'maxlon': 59.607954}"
دانش,3,0,6,167,1,7,1,16,4,88.89,"{'minlat': 36.2788585, 'minlon': 59.5995748, 'maxlat': 36.2861807, 'maxlon': 59.6104833}"
آیت الله خامنه ای,7,0,44,137,0,7,1,26,5,77.78,"{'minlat': 36.2818078, 'minlon': 59.6026808, 'maxlat': 36.2909554, 'maxlon': 59.6122353}"
سراب,4,0,59,122,1,19,2,75,3,88.89,"{'minlat': 36.2909554, 'minlon': 59.5971689, 'maxlat': 36.2979703, 'maxlon': 59.6102006}"
شهید بصیر,0,0,3,157,0,1,0,10,0,44.44,"{'minlat': 36.3878799, 'minlon': 59.5101929, 'maxlat': 36.4022119, 'maxlon': 59.5307574}"
شهرک مطهری,0,0,1,76,0,0,0,2,0,33.33,"{'minlat': 36.3859285, 'minlon': 59.5234457, 'maxlat': 36.3931115, 'maxlon': 59.532836}"
مشهدقلی,1,0,1,83,0,0,0,2,0,44.44,"{'minlat': 36.3833005, 'minlon': 59.5256442, 'maxlat': 36.3909311, 'maxlon': 59.5346318}"
توس,1,0,0,134,0,0,0,2,0,33.33,"{'minlat': 36.3762947, 'minlon': 59.5295282, 'maxlat': 36.3883635, 'maxlon': 59.5418711}"
مهدی آباد,2,0,5,365,0,0,0,30,2,55.56,"{'minlat': 36.2703044, 'minlon': 59.6780686, 'maxlat': 36.2847581, 'maxlon': 59.705013}"
حضرت حجت,11,0,62,329,2,0,0,46,0,55.56,"{'minlat': 36.3516093, 'minlon': 59.5500109, 'maxlat': 36.3672796, 'maxlon': 59.5737907}"
وحدت,35,0,78,1039,0,6,0,66,7,66.67,"{'minlat': 36.3362895, 'minlon': 59.576143, 'maxlat': 36.3755849, 'maxlon': 59.6225393}"
نوید,23,0,159,829,2,3,0,111,0,66.67,"{'minlat': 36.3452517, 'minlon': 59.5480044, 'maxlat': 36.3714845, 'maxlon': 59.6034419}"
فدک,5,0,41,293,0,4,0,14,0,55.56,"{'minlat': 36.3391161, 'minlon': 59.5655724, 'maxlat': 36.3499005, 'maxlon': 59.5849983}"
امیر,12,0,62,357,0,7,0,27,6,66.67,"{'minlat': 36.3315986, 'minlon': 59.5735399, 'maxlat': 36.3461091, 'maxlon': 59.5903212}"
بهاران,9,0,57,122,0,0,0,8,0,44.44,"{'minlat': 36.3389352, 'minlon': 59.5471437, 'maxlat': 36.3481874, 'maxlon': 59.5683512}"
جانباز,22,0,119,386,0,5,2,45,3,77.78,"{'minlat': 36.3241069, 'minlon': 59.5536768, 'maxlat': 36.3449684, 'maxlon': 59.5778328}"
شهید فرامرز عباسی,1,0,92,163,1,2,4,12,5,88.89,"{'minlat': 36.325304, 'minlon': 59.543501, 'maxlat': 36.340026, 'maxlon': 59.5536768}"
هدایت,0,0,14,96,0,1,0,4,0,44.44,"{'minlat': 36.3318039, 'minlon': 59.5950365, 'maxlat': 36.3380656, 'maxlon': 59.6049365}"
ایثارگران,5,2,352,1339,2,11,3,202,2,100.0,"{'minlat': 36.3658332, 'minlon': 59.4980271, 'maxlat': 36.3997806, 'maxlon': 59.5448811}"
شفا,0,0,28,256,0,2,0,8,0,44.44,"{'minlat': 36.3201594, 'minlon': 59.6056956, 'maxlat': 36.3286706, 'maxlon': 59.6231243}"
شهید مطهری,0,0,20,378,0,3,1,47,3,66.67,"{'minlat': 36.3095457, 'minlon': 59.5936793, 'maxlat': 36.32058, 'maxlon': 59.608815}"
عامل,17,0,85,940,1,15,7,178,6,88.89,"{'minlat': 36.2979703, 'minlon': 59.5859143, 'maxlat': 36.3200526, 'maxlon': 59.609197}"
عبادی,2,0,26,485,1,6,2,70,5,88.89,"{'minlat': 36.3031026, 'minlon': 59.5988868, 'maxlat': 36.3166142, 'maxlon': 59.6144362}"
هنرور,0,0,16,348,0,1,0,22,2,55.56,"{'minlat': 36.3166142, 'minlon': 59.6005654, 'maxlat': 36.3286706, 'maxlon': 59.6158853}"
سمزقند,0,0,41,207,0,7,1,29,2,66.67,"{'minlat': 36.3115763, 'minlon': 59.608815, 'maxlat': 36.3216702, 'maxlon': 59.6197165}"
حجت,2,0,20,186,0,3,0,8,0,55.56,"{'minlat': 36.3141126, 'minlon': 59.5895916, 'maxlat': 36.3265076, 'maxlon': 59.5980051}"
نکاح,0,0,18,151,0,0,0,20,0,33.33,"{'minlat': 36.3154388, 'minlon': 59.5949936, 'maxlat': 36.3247999, 'maxlon': 59.6037939}"
فتح المبین,2,0,36,133,1,1,4,51,30,88.89,"{'minlat': 36.3194043, 'minlon': 59.5779052, 'maxlat': 36.3308402, 'maxlon': 59.5900865}"
خاتم الانبیا,3,1,238,477,0,6,2,54,6,88.89,"{'minlat': 36.363589, 'minlon': 59.5148767, 'maxlat': 36.3837383, 'maxlon': 59.5363659}"
یاس,0,0,8,148,0,1,0,7,0,44.44,"{'minlat': 36.3229335, 'minlon': 59.5956387, 'maxlat': 36.3318039, 'maxlon': 59.6056956}"
گلبرگ شمالی,0,0,8,77,0,0,0,2,3,44.44,"{'minlat': 36.3265076, 'minlon': 59.5906268, 'maxlat': 36.3302092, 'maxlon': 59.5984161}"
موسوی قوچانی,0,0,7,125,0,1,0,1,1,55.56,"{'minlat': 36.3294853, 'minlon': 59.5900865, 'maxlat': 36.3362334, 'maxlon': 59.6008649}"
آپارتمان های مرتفع,7,0,36,11,0,1,0,11,0,55.56,"{'minlat': 36.3236348, 'minlon': 59.5699889, 'maxlat': 36.3315986, 'maxlon': 59.5794153}"
گلبرگ,0,0,16,189,0,2,0,5,3,55.56,"{'minlat': 36.3200526, 'minlon': 59.5858097, 'maxlat': 36.3304901, 'maxlon': 59.5956387}"
زمرد,23,0,27,172,0,3,0,14,6,66.67,"{'minlat': 36.3354555, 'minlon': 59.5851928, 'maxlat': 36.3434367, 'maxlon': 59.5982627}"
پنجتن,3,0,106,335,1,1,5,21,2,88.89,"{'minlat': 36.2971032, 'minlon': 59.661161, 'maxlat': 36.3134718, 'maxlon': 59.6813835}"
رده,0,0,31,426,1,0,0,11,4,55.56,"{'minlat': 36.3070373, 'minlon': 59.6534938, 'maxlat': 36.320111, 'maxlon': 59.6732752}"
پنجتن آل عبا,6,0,66,358,1,0,0,19,1,66.67,"{'minlat': 36.3058221, 'minlon': 59.675205, 'maxlat': 36.3251284, 'maxlon': 59.7065735}"
شهید قربانی,2,0,39,548,0,0,0,32,5,55.56,"{'minlat': 36.3125597, 'minlon': 59.6673381, 'maxlat': 36.3321467, 'maxlon': 59.6998804}"
ابوذر,1,0,16,248,0,3,0,4,1,66.67,"{'minlat': 36.3017221, 'minlon': 59.6445943, 'maxlat': 36.3115926, 'maxlon': 59.659034}"
وحید,0,0,35,235,0,2,0,11,2,55.56,"{'minlat': 36.2990805, 'minlon': 59.6487345, 'maxlat': 36.3082607, 'maxlon': 59.6623103}"
تلگرد,0,0,67,278,1,7,3,32,3,77.78,"{'minlat': 36.2935832, 'minlon': 59.6502015, 'maxlat': 36.3063543, 'maxlon': 59.6657395}"
ایثار,2,0,41,183,0,15,0,38,6,66.67,"{'minlat': 36.2892256, 'minlon': 59.6282883, 'maxlat': 36.3018205, 'maxlon': 59.6458698}"
گلشور,2,0,74,294,2,9,4,47,7,88.89,"{'minlat': 36.2880812, 'minlon': 59.6419819, 'maxlat': 36.3017221, 'maxlon': 59.6608522}"
طلاب,1,0,16,107,0,12,1,17,7,77.78,"{'minlat': 36.2975392, 'minlon': 59.6378606, 'maxlat': 36.3060047, 'maxlon': 59.6487345}"
امیریه,3,1,317,775,2,12,2,140,5,100.0,"{'minlat': 36.3711138, 'minlon': 59.4694998, 'maxlat': 36.4020205, 'maxlon': 59.5199128}"
الهیه,4,0,359,850,0,6,2,102,5,77.78,"{'minlat': 36.3653953, 'minlon': 59.4484914, 'maxlat': 36.393794, 'maxlon': 59.500207}"
اقبال,1,0,57,178,1,9,2,38,5,88.89,"{'minlat': 36.3293243, 'minlon': 59.460644, 'maxlat': 36.340156, 'maxlon': 59.4775772}"
شهرآرا,2,0,99,423,1,10,0,118,8,77.78,"{'minlat': 36.3082125, 'minlon': 59.4549286, 'maxlat': 36.3350753, 'maxlon': 59.4795178}"
آب و برق,2,0,72,224,0,11,5,41,9,77.78,"{'minlat': 36.3142952, 'minlon': 59.4766773, 'maxlat': 36.3267756, 'maxlon': 59.4932453}"
حافظ,3,0,91,300,3,3,13,96,7,88.89,"{'minlat': 36.3181865, 'minlon': 59.4828303, 'maxlat': 36.3323566, 'maxlon': 59.5014603}"
هنرستان,3,0,143,454,1,14,8,66,23,88.89,"{'minlat': 36.3108771, 'minlon': 59.4932453, 'maxlat': 36.3274076, 'maxlon': 59.5155166}"
نیروی هوایی,69,0,131,713,1,11,3,84,11,88.89,"{'minlat': 36.2865753, 'minlon': 59.471573, 'maxlat': 36.3181865, 'maxlon': 59.5044744}"
نه دره,63,0,49,240,0,9,3,56,4,77.78,"{'minlat': 36.2920832, 'minlon': 59.4646318, 'maxlat': 36.3173836, 'maxlon': 59.4897383}"
چهارچشمه,23,0,254,658,1,6,1,43,5,88.89,"{'minlat': 36.2832081, 'minlon': 59.4869501, 'maxlat': 36.3108771, 'maxlon': 59.51269}"
سرافرازان,26,0,349,690,0,4,1,79,4,77.78,"{'minlat': 36.2778697, 'minlon': 59.4943888, 'maxlat': 36.3047343, 'maxlon': 59.5293197}"
نوفل لوشاتو,36,1,151,504,3,17,9,106,12,100.0,"{'minlat': 36.2859054, 'minlon': 59.5374039, 'maxlat': 36.315082, 'maxlon': 59.5632375}"
کوثر,2,0,277,408,0,16,4,152,18,77.78,"{'minlat': 36.3047343, 'minlon': 59.5044744, 'maxlat': 36.3230173, 'maxlon': 59.5276973}"
رضاشهر,16,0,229,377,0,10,6,92,4,77.78,"{'minlat': 36.2831472, 'minlon': 59.52369, 'maxlat': 36.3017103, 'maxlon': 59.5563767}"
زکریا,20,0,190,475,1,7,5,76,6,88.89,"{'minlat': 36.2677017, 'minlon': 59.5016722, 'maxlat': 36.2931659, 'maxlon': 59.5441094}"
بهارستان,1,0,77,99,4,2,3,114,2,88.89,"{'minlat': 36.2727759, 'minlon': 59.5376936, 'maxlat': 36.2859054, 'maxlon': 59.5564823}"
دانشگاه,21,0,425,248,0,5,8,350,6,77.78,"{'minlat': 36.2993095, 'minlon': 59.51269, 'maxlat': 36.319233, 'maxlon': 59.540596}"
پورسینا,2,0,43,472,1,1,0,31,0,66.67,"{'minlat': 36.2660645, 'minlon': 59.6600116, 'maxlat': 36.28274, 'maxlon': 59.6841268}"
موعود,1,0,18,496,1,2,0,27,2,77.78,"{'minlat': 36.2625469, 'minlon': 59.6676452, 'maxlat': 36.2750014, 'maxlon': 59.6915732}"
اروند,1,0,18,260,0,0,1,5,1,66.67,"{'minlat': 36.2600771, 'minlon': 59.6762833, 'maxlat': 36.2704218, 'maxlon': 59.6915732}"
انصار,0,0,59,154,0,0,1,14,0,44.44,"{'minlat': 36.2569999, 'minlon': 59.6823411, 'maxlat': 36.2704218, 'maxlon': 59.6989516}"
شهرک شهید باهنر,2,0,0,150,0,0,0,0,0,22.22,"{'minlat': 36.2379737, 'minlon': 59.704017, 'maxlat': 36.2564209, 'maxlon': 59.7237396}"
مصطفی خمینی,4,0,59,153,1,1,0,28,0,66.67,"{'minlat': 36.2447073, 'minlon': 59.6245872, 'maxlat': 36.2600998, 'maxlon': 59.6579812}"
شهرک شیرین,4,0,36,104,0,0,0,23,0,44.44,"{'minlat': 36.2472589, 'minlon': 59.6464491, 'maxlat': 36.2632487, 'maxlon': 59.6626764}"
کشاورز,4,0,70,198,0,0,1,39,1,66.67,"{'minlat': 36.2440711, 'minlon': 59.6658656, 'maxlat': 36.2625556, 'maxlon': 59.6940066}"
شهید معقول,10,0,21,278,1,1,0,80,3,77.78,"{'minlat': 36.2458523, 'minlon': 59.6536965, 'maxlat': 36.2660645, 'maxlon': 59.6762833}"
امیر آباد,8,0,14,82,1,2,0,44,1,77.78,"{'minlat': 36.2602301, 'minlon': 59.651446, 'maxlat': 36.2702972, 'maxlon': 59.6676452}"
چهنو,3,0,34,209,0,5,5,24,1,77.78,"{'minlat': 36.2708723, 'minlon': 59.6173075, 'maxlat': 36.2812779, 'maxlon': 59.6297181}"
شیرودی,0,0,24,205,0,2,0,8,0,44.44,"{'minlat': 36.2641699, 'minlon': 59.6258223, 'maxlat': 36.2756983, 'maxlon': 59.6362218}"
کارمندان اول,1,0,18,344,0,10,5,23,6,77.78,"{'minlat': 36.2696522, 'minlon': 59.6238701, 'maxlat': 36.2815723, 'maxlon': 59.6407552}"
کارمندان دوم,1,0,44,349,1,0,0,37,1,66.67,"{'minlat': 36.2600998, 'minlon': 59.6362218, 'maxlat': 36.27692, 'maxlon': 59.6571442}"
محمد آباد,1,0,61,304,1,1,0,27,1,77.78,"{'minlat': 36.2580623, 'minlon': 59.6260974, 'maxlat': 36.2696522, 'maxlon': 59.6464491}"
شهید آوینی,1,0,25,155,1,2,1,13,1,88.89,"{'minlat': 36.2939469, 'minlon': 59.6612416, 'maxlat': 36.3024213, 'maxlon': 59.6763007}"
ثامن,3,0,21,415,0,1,0,20,1,66.67,"{'minlat': 36.2789591, 'minlon': 59.6590606, 'maxlat': 36.2953147, 'maxlon': 59.6858272}"
نیزه,13,0,72,302,1,1,0,20,2,77.78,"{'minlat': 36.2938329, 'minlon': 59.6727193, 'maxlat': 36.315177, 'maxlon': 59.7065735}"
امیر المومنین,13,0,56,490,1,1,0,20,3,77.78,"{'minlat': 36.2863088, 'minlon': 59.6700485, 'maxlat': 36.311902, 'maxlon': 59.7040813}"
شهرک مهر آباد,0,0,69,321,1,3,0,27,0,55.56,"{'minlat': 36.2691398, 'minlon': 59.6555498, 'maxlat': 36.2880812, 'maxlon': 59.672355}"
حسین آباد,0,0,119,451,3,1,1,37,1,77.78,"{'minlat': 36.2702972, 'minlon': 59.6387894, 'maxlat': 36.293476, 'maxlon': 59.6590606}"
رضاییه,0,0,56,240,0,5,0,20,5,55.56,"{'minlat': 36.27692, 'minlon': 59.6293681, 'maxlat': 36.2924812, 'maxlon': 59.6407552}"
سجادیه,0,0,28,122,0,0,0,11,0,33.33,"{'minlat': 36.2817267, 'minlon': 59.6358306, 'maxlat': 36.2906592, 'maxlon': 59.6430722}"
جلالیه,1,0,46,180,1,7,5,27,6,88.89,"{'minlat': 36.27692, 'minlon': 59.6241526, 'maxlat': 36.2864575, 'maxlon': 59.6407552}"
حجاب,2,0,166,326,2,8,0,52,2,77.78,"{'minlat': 36.3648979, 'minlon': 59.5042625, 'maxlat': 36.380253, 'maxlon': 59.5245977}"
شهرک امام هادی,8,0,63,311,2,4,0,135,3,77.78,"{'minlat': 36.3452517, 'minlon': 59.5363659, 'maxlat': 36.3705057, 'maxlon': 59.5519828}"
ادیب نیشابوری,1,1,144,229,0,3,0,36,2,77.78,"{'minlat': 36.3591395, 'minlon': 59.5115983, 'maxlat': 36.3679822, 'maxlon': 59.527992}"
نرگس,0,0,68,87,0,0,0,2,0,33.33,"{'minlat': 36.3466136, 'minlon': 59.476801, 'maxlat': 36.352145, 'maxlon': 59.4883087}"
فرهنگیان,2,0,104,334,0,5,0,32,13,66.67,"{'minlat': 36.3520694, 'minlon': 59.4878393, 'maxlat': 36.3646004, 'maxlon': 59.5075308}"
شهرک لشکر,2,0,258,461,0,5,2,58,9,77.78,"{'minlat': 36.3559394, 'minlon': 59.479904, 'maxlat': 36.3711138, 'maxlon': 59.5037126}"
امامیه,3,2,166,346,1,9,3,69,3,100.0,"{'minlat': 36.3591395, 'minlon': 59.500207, 'maxlat': 36.3741481, 'maxlon': 59.5174187}"
حسابی جنوبی,0,0,90,70,0,1,0,2,1,55.56,"{'minlat': 36.3454167, 'minlon': 59.4879713, 'maxlat': 36.3522725, 'maxlon': 59.501591}"
شاهد,2,0,106,254,0,4,1,36,6,77.78,"{'minlat': 36.3451828, 'minlon': 59.5010733, 'maxlat': 36.3593339, 'maxlon': 59.5141432}"
استاد یوسفی,5,1,164,352,0,7,2,52,6,88.89,"{'minlat': 36.3517756, 'minlon': 59.5129207, 'maxlat': 36.363589, 'maxlon': 59.5316666}"
ولیعصر,3,0,114,236,0,3,3,20,4,77.78,"{'minlat': 36.3451026, 'minlon': 59.5135242, 'maxlat': 36.3563833, 'maxlon': 59.5313609}"
شهرک رازی,3,0,111,440,1,3,1,95,6,88.89,"{'minlat': 36.3450844, 'minlon': 59.5260394, 'maxlat': 36.3658332, 'maxlon': 59.5480044}"
فارغ التحصیلان,0,0,170,215,0,2,2,81,2,66.67,"{'minlat': 36.3366523, 'minlon': 59.4605236, 'maxlat': 36.3510607, 'maxlon': 59.476801}"
شریف,0,0,131,436,1,7,3,89,13,77.78,"{'minlat': 36.3290215, 'minlon': 59.4718545, 'maxlat': 36.3431299, 'maxlon': 59.5001567}"
تربیت,0,0,63,228,0,1,1,16,6,66.67,"{'minlat': 36.3371128, 'minlon': 59.4749138, 'maxlat': 36.3466893, 'maxlon': 59.5035464}"
دانشجو,2,0,69,163,2,9,5,24,11,88.89,"{'minlat': 36.3252325, 'minlon': 59.4962902, 'maxlat': 36.3371128, 'maxlon': 59.5120195}"
فرهنگ,3,0,83,286,0,22,2,29,16,77.78,"{'minlat': 36.3202147, 'minlon': 59.508435, 'maxlat': 36.3336178, 'maxlon': 59.5284507}"
سید رضی,1,0,47,246,0,18,0,15,8,66.67,"{'minlat': 36.3282904, 'minlon': 59.5120195, 'maxlat': 36.3409046, 'maxlon': 59.5312804}"
شهید رضوی,1,0,112,101,0,1,0,14,1,66.67,"{'minlat': 36.3382147, 'minlon': 59.5139748, 'maxlat': 36.3451788, 'maxlon': 59.5331941}"
آزادشهر,1,1,300,378,1,44,4,101,22,100.0,"{'minlat': 36.315082, 'minlon': 59.5245237, 'maxlat': 36.3382147, 'maxlon': 59.5459621}"
زیبا شهر,0,0,31,79,0,0,2,7,0,44.44,"{'minlat': 36.3355252, 'minlon': 59.5312804, 'maxlat': 36.3452517, 'maxlon': 59.5480593}"
جاهد شهر,13,0,529,881,2,15,2,164,16,88.89,"{'minlat': 36.3510607, 'minlon': 59.4442997, 'maxlat': 36.3809188, 'maxlon': 59.4914132}"
وکیل آباد,17,0,87,323,0,2,2,174,3,77.78,"{'minlat': 36.340156, 'minlon': 59.4201994, 'maxlat': 36.3725932, 'maxlon': 59.4658001}"
اکبرآباد,12,0,18,144,0,1,0,32,0,55.56,"{'minlat': 36.4224365, 'minlon': 59.4455033, 'maxlat': 36.4443383, 'maxlon': 59.473865}"
فردوسی,17,0,107,179,0,1,0,19,0,55.56,"{'minlat': 36.4633881, 'minlon': 59.4835784, 'maxlat': 36.4989467, 'maxlon': 59.5465819}"
چهاربرج,36,0,68,402,0,1,0,24,0,55.56,"{'minlat': 36.4450245, 'minlon': 59.4562236, 'maxlat': 36.4846993, 'maxlon': 59.5299093}"
کلاته برفی,36,0,19,382,0,0,0,28,0,44.44,"{'minlat': 36.4301439, 'minlon': 59.4453231, 'maxlat': 36.4612137, 'maxlon': 59.508516}"
percentage,80.09,17.65,98.19,100.0,57.01,83.71,61.54,99.55,79.64,100.0,75.26524886877833
